Κατηγορία,Όνομα,Τιμή,Αντιπρόταση 1,Αντιπρόταση 2,Αντιπρόταση 3,Οινοποιείο,Περιοχή,Αλκοόλ,Ποικιλία,Ξηρότητα,Ορυκτότητα,Οξύτητα,Σώμα,Σχόλια
Λευκά,Chablis 1er Cru ‘Vaillon’| J. Moreau & Fils | AC Chablis,120,Afoura | Anydrous Winery | PDO Santorini,Santorini Cuvee Monsignori | Argyros Estate | PDO Santorini,Golden Egg | Tony Bish Wines | Hawke’s Bay,,,,,,,,,
Λευκά,Chablis 1er Cru ‘Les Fourneaux’| L&C Poilut | AC Chablis,76,Viogner Eclectique | Domaine Skouras | PGI Peloponnese,Sancerre Le Tournebride | Vincent Gaudry | A.O.C. Sancerre,Santorini | Vassaltis Winery | PDO Santorini,,,,,,,,,
Λευκά,Côte de Beaune,386,RARE Clos Stegasta | T-Oinos Winery | PGI Cyclades,Assyrtiko de Louros | Hatzidakis Winery Vignes Centenaires | PDO Santorini,Baron de L | Domaine de Ladoucette | Pouilly Fume,,,,,,,,,
Λευκά,Mosaik | Kuentz-Bas | AOC Alsace,36,Diamantopetra | Diamantakis Winery | PGI Crete,Plano Assyrtiko | Wine Art Estate | PGI Drama,Crispy Assyrtiko | Muses Estate | PGI Thebes,,,,,,,,,
Λευκά,Gustave Lorentz | Riesling | AOC Alsace,40,Aspros Lagos Oak Barel | Douloufakis Estate | PGI Crete,Akrathos Assyrtiko | Newlands Winery | PGI Chalkidiki,Soave Classico | Gini Winery | DOC Soave Classico Italy,,,,,,,,,
Λευκά,Urziger Wurzgarten GG | Dr. Loosen | Mosel,102,Roche-aux-Moines,Pieropan Soave La Rocca | Pieropan | Soave Classico DOC,Lagotopos Single Vineyard “AG” | Domaine Michailidis | PGI Drama,,,,,,,,,
Λευκά,Weingut Nigl | Gartling | Kremstal,54,Chenin Blanc | Bogle Vineyards | Clarksburg California,Alkar | Messarea Winery | PGI Tinos,L’Exuberance | Clos Cantenac | St Emilion Bordeaux,,,,,,,,,
Λευκά,"Crasto Superior White | Quinta do Crasto | Cima Corgo, Douro Valley",50,Topos Cuvée | Seiradi | PDO Paros,Viogner | Domaine Gerovasiliou | PGI Epanomi,Chardonnay | Domaine Katsaros | PGI Crania,,,,,,,,,
Λευκά,Ribolla | Marjan Simcic | Opoka Medana Jama Cru,137,Sauvignon Blanc | Marjan Simcic | Opoka Jordano Cru,Rombola R | Gentilini Wines | PDO Cephalonia,Orycton | Kyanos Winery | PDO Santorini,,,,,,,,,
Λευκά,Sauvignon Blanc | Marjan Simcic | Opoka Jordano Cru,137,Ribolla | Marjan Simcic | Opoka Medana Jama Cru,Rombola R | Gentilini Wines | PDO Cephalonia,Orycton | Kyanos Winery | PDO Santorini,,,,,,,,,
Λευκά,Ram’s Hill | Antinori | Marlborough,90,Château Climens Asphodele | Barsac Bordeaux,Vandenberg | Tatomer Vineyards | Santa Barbara,Sol de Sol | Vina Aquitania | Maipo Valley,,,,,,,,,
Λευκά,Private Bin | Villa Maria | Marlborough,45,Sauvignon Blanc Fume | Domaine Gerovasileiou | PGI Epanomi,Sauvignon Blanc | Alpha Estate | PGI Florina,Vilana| Moinoterra | PGI Crete,,,,,,,,,
Λευκά,Southern Ocean | Marlborough,42,Theros | Theros Wine Collectiva | PGI Crete,Aori | Muscat of Spinas | PGI Crete,Liatiko Blanc de Noir | Haralambakis Winery | PGI Crete,,,,,,,,,
Λευκά,Golden Egg | Tony Bish Wines | Hawke’s Bay,114,Marko Terlegiz | Oxer Wines | Bizkaiko Txakolina | Spain,Santorini Cuvee Monsignori | Argyros Estate | PDO Santorini,Bourgogne Cote d’or | Domaine François Mikulski | Meursault,,,,,,,,,
Λευκά,Cono Sur | Bicicleta | Chile,30,Dafnios | Douloufakis Estate | PGI Crete,Malva de Crete | Idaia Winery | PGI Crete,Savatiano | Anastasia Fragou Winery | PGI Attika,,,,,,,,,
Λευκά,Montes| Outer Limits | DO Zapallar,72,Thalassitis | Gaia Wines | PDO Santorini,Ovilos | Vivlia Chora Estate | PGI Pangeo,Sancerre Le Tournebride | Vincent Gaudry | A.O.C. Sancerre,,,,,,,,,
Λευκά,Amayana | Garves Silva Vineyards | Leyda Valley,61,Rousanne | Manousakis Winery | PGI Crete,Vostilidi Orange | Sclavos Wines | PGI Slopes of Enos,Les Cassagnes de la Nerthe Cote Du Rhône | Chateau la Nerthe | Rhône Valley,,,,,,,,,
Λευκά,Sol de Sol | Vina Aquitania | Maipo Valley,85,Santorini Argyros | Argyros Estate | PDO Santorini,Iliana Malihin | Field Blend | PGI Rethymno,Inatos | Moschato Spinas Oaked | Strataridakis Winery | PGI Crete,,,,,,,,,
Λευκά,Jules Taylor | SB | Marlborough,47,Droumo | Kir-Yianni Estate | PGI Makedonia,Domaine Champalou | Vouvray | Loire,Vilana| Moinoterra | PGI Crete,,,,,,,,,
Λευκά,The White One | First Drop Wines | Adelaide Hills,32,Vilana | Gavalas Wines | PGI Crete,Techni Alipias | Wine Art Estate | PGI Drama,Apla White | Oenops Wines | PGI Drama,,,,,,,,,
Λευκά,Kaapzicht | SB | Bottelary Stellenbosch,31,Queen White | Lyrarakis Wines | Vidiano | PGI Crete,Aspra Harakia | Strataridakis Winery | PGI Crete,Tachtas | Douloufakis Estate | PGI Crete,,,,,,,,,
Λευκά,Marko Terlegiz | Oxer Wines | Bizkaiko Txakolina | Spain,112,Golden Egg | Tony Bish Wines | Hawke’s Bay,Bourgogne Cote d’or | Domaine François Mikulski | Meursault,Vidiano| Single Vineyard | Karavitakis Winery | PGI Crete,,,,,,,,,
Λευκά,Vandenberg | Tatomer Vineyards | Santa Barbara,90,Château Climens Asphodele | Barsac Bordeaux,Ram’s Hill | Antinori | Marlborough,Sol de Sol | Vina Aquitania | Maipo Valley,,,,,,,,,
Λευκά,Chenin Blanc | Bogle Vineyards | Clarksburg California,54,Weingut Nigl | Gartling | Kremstal,Alkar | Messarea Winery | PGI Tinos,L’Exuberance | Clos Cantenac | St Emilion Bordeaux,,,,,,,,,
Λευκά,Lapis Luna | Lapis Luna Wines | California,44,Sauvignon Blanc Fume | Domaine Gerovasileiou | PGI Epanomi,Sauvignon Blanc | Alpha Estate | PGI Florina,Vasilissa | Makarounas Winery | PGI Paphos,,,,,,,,,
Ροζέ,Kedros | Lyrarakis Wines | PGI Crete,40,"Routas | Château Routas | Provence, France",Vegan,"The Beach by Whispering Angel | Caves d’Esclans | Provence, France",,,,,,,,,
Ροζέ,Diamantopetra | Diamantakis Winery | PGI Crete,33,Liatiko | Iliana Malihin | PGI Rethymno,Rose de Xinomavro | Thymiopoulos Winery | PGI Thessaloniki,Akakies Rose | Kir-Yianni Estate | PDO Amyndeon,,,,,,,,,
Ροζέ,Liatiko | Iliana Malihin | PGI Rethymno,33,Diamantopetra | Diamantakis Winery | PGI Crete,Rose de Xinomavro | Thymiopoulos Winery | PGI Thessaloniki,Akakies Rose | Kir-Yianni Estate | PDO Amyndeon,,,,,,,,,
Ροζέ,Queen Rose | Lyrarakis Wines | PGI Crete,31,Aprilis Rose Brut | Theopetra Estate | PGI Meteora,Vera Rosa | Strataridakis Winery | PGI Crete,Akakies Rose | Kir-Yianni Estate | PDO Amyndeon,,,,,,,,,
Ροζέ,Melissiinos bio | Domaine Paterianaki | PGI Crete,35,Xinomavro Rose | Markovitis Winery | PDO Naoussa,Fragosykia | Rouvalis Winery | PGI Peloponnese,A-Muse | Muses Estate | PGI Thebes,,,,,,,,,
Ροζέ,Vera Rosa | Strataridakis Winery | PGI Crete,31,Aprilis Rose Brut | Theopetra Estate | PGI Meteora,Queen Rose | Lyrarakis Wines | PGI Crete,Akakies Rose | Kir-Yianni Estate | PDO Amyndeon,,,,,,,,,
Ροζέ,Efivos | Gavalas Wines | PGI Crete,32,Akakies Rose | Kir-Yianni Estate | PDO Amyndeon,Victoria Semi-Dry | Domaine Zacharioudakis | PGI Crete,Lexis Gris sur lie | Zacharias Winery | PGI Nemea,,,,,,,,,
Ροζέ,Venerata Rosa | Idaia Winery | PGI Crete,30,Manousaki | Diamantopoulos Winery | PGI Peloponnese,Aprilis Rose Brut | Theopetra Estate | PGI Meteora,Queen Rose | Lyrarakis Wines | PGI Crete,,,,,,,,,
Ροζέ,Victoria Semi-Dry | Domaine Zacharioudakis | PGI Crete,32,Akakies Rose | Kir-Yianni Estate | PDO Amyndeon,Efivos | Gavalas Wines | PGI Crete,Lexis Gris sur lie | Zacharias Winery | PGI Nemea,,,,,,,,,
Ροζέ,Rose de Xinomavro | Thymiopoulos Winery | PGI Thessaloniki,33,Diamantopetra | Diamantakis Winery | PGI Crete,Liatiko | Iliana Malihin | PGI Rethymno,Akakies Rose | Kir-Yianni Estate | PDO Amyndeon,,,,,,,,,
Ροζέ,L’Esprit du Lac | Kir-Yianni Estate | Vieilles Vignes | PDO Amyndeon,42,Peplo | Domaine Skouras | PGI Peloponnese,"The Beach by Whispering Angel | Caves d’Esclans | Provence, France",Kedros | Lyrarakis Wines | PGI Crete,,,,,,,,,
Ροζέ,Xinomavro Rose | Markovitis Winery | PDO Naoussa,34,Diamantopetra | Diamantakis Winery | PGI Crete,Liatiko | Iliana Malihin | PGI Rethymno,Melissiinos bio | Domaine Paterianaki | PGI Crete,,,,,,,,,
Ροζέ,Alma | Pavlidis Estate | PGI Drama,37,Merlot Lazaridis | Domaine Costa Lazaridi | PGI Drama,Delear | Semeli Estate | PGI Peloponesse,Prosecco Rose | La Farra | DOC Treviso Italy,,,,,,,,,
Ροζέ,Vegan,39,Prosecco Rose | La Farra | DOC Treviso Italy,Kedros | Lyrarakis Wines | PGI Crete,Idylle d’ Achinos | La Tour Melas Estate | PGI Attica,Mount Cloud Rose | Navitas Wines | PGI Pieria,,,,,,,,
Ροζέ,Alpha Rose | Alpha Estate | PDO Amyndeon,45,L’Esprit du Lac | Kir-Yianni Estate | Vieilles Vignes | PDO Amyndeon,Peplo | Domaine Skouras | PGI Peloponnese,"AIX | Coteaux d’Aix en Provence | Provence, France",,,,,,,,,
Ροζέ,Merlot Lazaridis | Domaine Costa Lazaridi | PGI Drama,37,Alma | Pavlidis Estate | PGI Drama,Delear | Semeli Estate | PGI Peloponesse,Prosecco Rose | La Farra | DOC Treviso Italy,,,,,,,,,
Ροζέ,Un Ete Grec | Domaine de Kalathas | PGI Cyclades,97,Domaines OTT | Chateau Romassan | Bandol,"Rock Angel | Chateau d’Esclans | Provence, France","Miraval | Chateau Miraval | Provence, France",,,,,,,,,
Ροζέ,Peplo | Domaine Skouras | PGI Peloponnese,42,L’Esprit du Lac | Kir-Yianni Estate | Vieilles Vignes | PDO Amyndeon,"The Beach by Whispering Angel | Caves d’Esclans | Provence, France",Kedros | Lyrarakis Wines | PGI Crete,,,,,,,,,
Ροζέ,Delear | Semeli Estate | PGI Peloponesse,37,Alma | Pavlidis Estate | PGI Drama,Merlot Lazaridis | Domaine Costa Lazaridi | PGI Drama,Prosecco Rose | La Farra | DOC Treviso Italy,,,,,,,,,
Ροζέ,Lexis Gris sur lie | Zacharias Winery | PGI Nemea,32,Akakies Rose | Kir-Yianni Estate | PDO Amyndeon,Efivos | Gavalas Wines | PGI Crete,Victoria Semi-Dry | Domaine Zacharioudakis | PGI Crete,,,,,,,,,
Ροζέ,Fragosykia | Rouvalis Winery | PGI Peloponnese,36,A-Muse | Muses Estate | PGI Thebes,Melissiinos bio | Domaine Paterianaki | PGI Crete,Alma | Pavlidis Estate | PGI Drama,,,,,,,,,
Ροζέ,Manousaki | Diamantopoulos Winery | PGI Peloponnese,30,Venerata Rosa | Idaia Winery | PGI Crete,Aprilis Rose Brut | Theopetra Estate | PGI Meteora,Queen Rose | Lyrarakis Wines | PGI Crete,,,,,,,,,
Ροζέ,Idylle d’ Achinos | La Tour Melas Estate | PGI Attica,38,Prosecco Rose | La Farra | DOC Treviso Italy,Villa Maria Blush | Villa Maria | Marlborough,Alma | Pavlidis Estate | PGI Drama,,,,,,,,,
Ροζέ,A-Muse | Muses Estate | PGI Thebes,36,Fragosykia | Rouvalis Winery | PGI Peloponnese,Melissiinos bio | Domaine Paterianaki | PGI Crete,Alma | Pavlidis Estate | PGI Drama,,,,,,,,,
Ροζέ,"Whispering Angel | Caves D’Esclans | Cotes de Provence, France",61,"Miraval | Chateau Miraval | Provence, France","M de Minuty | Côtes de Provence A.C. | Provence, France","AIX | Coteaux d’Aix en Provence | Provence, France",,,,,,,,,
Ροζέ,"Miraval | Chateau Miraval | Provence, France",62,"Whispering Angel | Caves D’Esclans | Cotes de Provence, France","M de Minuty | Côtes de Provence A.C. | Provence, France","AIX | Coteaux d’Aix en Provence | Provence, France",,,,,,,,,
Ροζέ,"Routas | Château Routas | Provence, France",40,Kedros | Lyrarakis Wines | PGI Crete,Vegan,"The Beach by Whispering Angel | Caves d’Esclans | Provence, France",,,,,,,,,
Ροζέ,"AIX | Coteaux d’Aix en Provence | Provence, France",49,Alpha Rose | Alpha Estate | PDO Amyndeon,L’Esprit du Lac | Kir-Yianni Estate | Vieilles Vignes | PDO Amyndeon,Peplo | Domaine Skouras | PGI Peloponnese,,,,,,,,,
Ροζέ,"Côtes de Provence, France",189,Veuve Clicquot Rose | Champagne | Reims,Taittinger Brut Prestige Rose | Champagne | Reims,Laurent Perrier Cuvée Rose | Champagne | Marne,,,,,,,,,
Ροζέ,"Rock Angel | Chateau d’Esclans | Provence, France",79,"Miraval | Chateau Miraval | Provence, France",Un Ete Grec | Domaine de Kalathas | PGI Cyclades,"Whispering Angel | Caves D’Esclans | Cotes de Provence, France",,,,,,,,,
Ροζέ,"The Beach by Whispering Angel | Caves d’Esclans | Provence, France",41,Kedros | Lyrarakis Wines | PGI Crete,L’Esprit du Lac | Kir-Yianni Estate | Vieilles Vignes | PDO Amyndeon,Peplo | Domaine Skouras | PGI Peloponnese,,,,,,,,,
Ροζέ,"M de Minuty | Côtes de Provence A.C. | Provence, France",56,"Whispering Angel | Caves D’Esclans | Cotes de Provence, France","Miraval | Chateau Miraval | Provence, France","AIX | Coteaux d’Aix en Provence | Provence, France",,,,,,,,,
Ροζέ,Domaines OTT | Chateau Romassan | Bandol,101,Un Ete Grec | Domaine de Kalathas | PGI Cyclades,"Rock Angel | Chateau d’Esclans | Provence, France","Miraval | Chateau Miraval | Provence, France",,,,,,,,,
Ροζέ,Villa Maria Blush | Villa Maria | Marlborough,38,Prosecco Rose | La Farra | DOC Treviso Italy,Idylle d’ Achinos | La Tour Melas Estate | PGI Attica,Alma | Pavlidis Estate | PGI Drama,,,,,,,,,
Κόκκινα,Kotsifali | Endochora Wines | PGI Crete,37,Kotsifali | Zacharioudakis Estate | PGI Crete,Alta | Thymiopoulos Vineyards | PDO Naoussa,Markovitis | Markovitis Winery | PDO Naoussa,,,,,,,,,
Κόκκινα,Kotsifali | Indigenous yeast | Karavitakis Winery | PGI Crete,82,Liatiko | Indigenous yeast | Karavitakis Winery | PGI Crete,Symbolo | Lyrarakis Wines | PGI Crete,To Kokkino | Domaine de Kalathas | PGI Tinos,,,,,,,,,
Κόκκινα,Queen Red | Lyrarakis Wines | PGI Crete,33,Dafnios | Douloufakis Estate | PGI Crete,Alikos | Haralambakis Winery | PGI Heraklion,Kokkina Chomata | Strataridakis Winery | PGI Crete,,,,,,,,,
Κόκκινα,Kotsifali | Zacharioudakis Estate | PGI Crete,37,Kotsifali | Endochora Wines | PGI Crete,Alta | Thymiopoulos Vineyards | PDO Naoussa,Markovitis | Markovitis Winery | PDO Naoussa,,,,,,,,,
Κόκκινα,Skalarea | Boutari Winery | PGI Heraklion,40,Grande Reserve Dafnes | Douloufakis Estate | PGI Crete,Barbera d’ Alba Superiore | G.D.Vajra | DOC Barolo Piemonte,Côtes-Du-Rhône | Domaine de la Solitude| AOC Côtes du Rhône,,,,,,,,,
Κόκκινα,Alikos | Haralambakis Winery | PGI Heraklion,34,Kokkina Chomata | Strataridakis Winery | PGI Crete,Krotos | Amariotakis Winery | PGI Crete,“35” Syrah | The Finest Artisanal | Crete,,,,,,,,,
Κόκκινα,Enstikto | Silva Daskalaki Winery | PGI Crete,47,Romitorio | Castello Romitorio | Toscano IGT,Kitrvs | Kitrvs Winery | PGI Pieria,Plakoura | Lyrarakis Wines | PGI Crete,,,,,,,,,
Κόκκινα,Kokkina Chomata | Strataridakis Winery | PGI Crete,34,Alikos | Haralambakis Winery | PGI Heraklion,Krotos | Amariotakis Winery | PGI Crete,“35” Syrah | The Finest Artisanal | Crete,,,,,,,,,
Κόκκινα,Grande Reserve Dafnes | Douloufakis Estate | PGI Crete,40,Skalarea | Boutari Winery | PGI Heraklion,Barbera d’ Alba Superiore | G.D.Vajra | DOC Barolo Piemonte,Côtes-Du-Rhône | Domaine de la Solitude| AOC Côtes du Rhône,,,,,,,,,
Κόκκινα,Krotos | Amariotakis Winery | PGI Crete,34,Alikos | Haralambakis Winery | PGI Heraklion,Kokkina Chomata | Strataridakis Winery | PGI Crete,“35” Syrah | The Finest Artisanal | Crete,,,,,,,,,
Κόκκινα,Dafnios | Douloufakis Estate | PGI Crete,33,Queen Red | Lyrarakis Wines | PGI Crete,Alikos | Haralambakis Winery | PGI Heraklion,Kokkina Chomata | Strataridakis Winery | PGI Crete,,,,,,,,,
Κόκκινα,Aggelis barrel | Lyrarakis Wines | PGI Crete,55,2919 M | Navitas Winery | PGI Pieria,Nostos Blend | Manousakis Winery | PGI Crete,Emphasis Syrah | Pavlidis Estate | PGI Drama,,,,,,,,,
Κόκκινα,Antigone | Oikonomou Winery | PGI Crete,307,Tartalo | Oxer Wines | DO Rioja,Palies Rizes Vielles Vignes | Domaine La tour Melas | PGI Attica,Malbec Argentino | Bodega Catena Zapata | Mendoza,,,,,,,,,
Κόκκινα,Liatiko | Indigenous yeast | Karavitakis Winery | PGI Crete,82,Kotsifali | Indigenous yeast | Karavitakis Winery | PGI Crete,Symbolo | Lyrarakis Wines | PGI Crete,To Kokkino | Domaine de Kalathas | PGI Tinos,,,,,,,,,
Κόκκινα,Plakoura | Lyrarakis Wines | PGI Crete,45,Ramnista | Kir-Yianni Estate | PDO Naousa,Magoutes | Diamantis Papageorgiou Winery | PGI Siatista,Mon Coeux | Domaine Jean-Louis Chave | Côtes du Rhône,,,,,,,,,
Κόκκινα,Ocean | Idaia Winery | PGI Crete,38,Chateau Haut Meneau | Bordeaux,Kotsifali | Endochora Wines | PGI Crete,Kotsifali | Zacharioudakis Estate | PGI Crete,,,,,,,,,
Κόκκινα,Symbolo | Lyrarakis Wines | PGI Crete,80,To Kokkino | Domaine de Kalathas | PGI Tinos,Kotsifali | Indigenous yeast | Karavitakis Winery | PGI Crete,Liatiko | Indigenous yeast | Karavitakis Winery | PGI Crete,,,,,,,,,
Κόκκινα,Mirabello | Oikonomou Winery | PGI Crete,185,Monologos | Ktima Dio Ypsi,Alpha One | Alpha Estate | PGI Florina,BIN 128 | Penfolds | Coonawarra Adelaide,,,,,,,,,
Κόκκινα,Diamantopetra | Diamandakis Winery | PGI Crete,32,Efivos | Gavalas Wines | PGI Crete,The Red One | First Drop Winery|Adelaide Hills Barossa Valey,Cono Sur | Bicicleta Reserva | Chile,,,,,,,,,
Κόκκινα,Efivos | Gavalas Wines | PGI Crete,32,Diamantopetra | Diamandakis Winery | PGI Crete,The Red One | First Drop Winery|Adelaide Hills Barossa Valey,Cono Sur | Bicicleta Reserva | Chile,,,,,,,,,
Κόκκινα,Nostos Blend | Manousakis Winery | PGI Crete,54,Aggelis barrel | Lyrarakis Wines | PGI Crete,2919 M | Navitas Winery | PGI Pieria,Moschopolis 18 | Moschopolis Winery | PGI Thessaloniki,,,,,,,,,
Κόκκινα,Issorropia | Efrosini Winery | PGI Crete,44,Earth and Sky | Thymiopoulos Vineyards | PDO Naoussa,Idisma Drios Merlot | Wine Art Estate | PGI Drama,Lapis Luna | Lapis Luna Wines | California,,,,,,,,,
Κόκκινα,Barbatus | Strataridakis Winery | PGI Crete,131,Dog Point | Dog Point Vineyards | Marlborough Valley,Opus ιβ 2004 | Hatzimichalis Estate | PGI Opountia Locris,Brunello di Montalcino | IL POGGIONE | Montalcino,,,,,,,,,
Κόκκινα,Earth and Sky | Thymiopoulos Vineyards | PDO Naoussa,44,Issorropia | Efrosini Winery | PGI Crete,Idisma Drios Merlot | Wine Art Estate | PGI Drama,Lapis Luna | Lapis Luna Wines | California,,,,,,,,,
Κόκκινα,Alta | Thymiopoulos Vineyards | PDO Naoussa,37,Kotsifali | Endochora Wines | PGI Crete,Kotsifali | Zacharioudakis Estate | PGI Crete,Markovitis | Markovitis Winery | PDO Naoussa,,,,,,,,,
Κόκκινα,Ramnista | Kir-Yianni Estate | PDO Naousa,45,Plakoura | Lyrarakis Wines | PGI Crete,Magoutes | Diamantis Papageorgiou Winery | PGI Siatista,Mon Coeux | Domaine Jean-Louis Chave | Côtes du Rhône,,,,,,,,,
Κόκκινα,Magoutes | Diamantis Papageorgiou Winery | PGI Siatista,45,Plakoura | Lyrarakis Wines | PGI Crete,Ramnista | Kir-Yianni Estate | PDO Naousa,Mon Coeux | Domaine Jean-Louis Chave | Côtes du Rhône,,,,,,,,,
Κόκκινα,Markovitis | Markovitis Winery | PDO Naoussa,37,Kotsifali | Endochora Wines | PGI Crete,Kotsifali | Zacharioudakis Estate | PGI Crete,Alta | Thymiopoulos Vineyards | PDO Naoussa,,,,,,,,,
Κόκκινα,Goumenissa | Mikro Ktima Titou | PDO Goumenissa,36,Pinot Noir | Villa Wolf | Pfalz Germany,“Single Variety” | Manousakis | Crete,Kotsifali | Endochora Wines | PGI Crete,,,,,,,,,
Κόκκινα,Kitrvs | Kitrvs Winery | PGI Pieria,46,Enstikto | Silva Daskalaki Winery | PGI Crete,Plakoura | Lyrarakis Wines | PGI Crete,Ramnista | Kir-Yianni Estate | PDO Naousa,,,,,,,,,
Κόκκινα,Fine Mavroudi | Anatolikos Vineyards | Thrace,69,Kokkinomylos| Tselepos Winery | PGI Peloponnese,Châteauneuf du Pape | Domaine de la Solitude | AOC Châteauneuf du Pape,“35” Aged | The Finest Artisanal | Crete,,,,,,,,,
Κόκκινα,Lagotopos Single Vineyard “Mavrotragano” | Domaine Michailidis | PGI Drama,150,Brunello di Montalcino | IL POGGIONE | Montalcino,"Ridge Lytton Springs | Ridge Vineyards | Santa Cruz, California",BIN 128 | Penfolds | Coonawarra Adelaide,,,,,,,,,
Κόκκινα,Moschopolis 18 | Moschopolis Winery | PGI Thessaloniki,52,Domaine Katsaros | Domaine Katsaros | PGI Crania,Nostos Blend | Manousakis Winery | PGI Crete,Mouchtaro | Domaine Muses | PGI Peloponnese,,,,,,,,,
Κόκκινα,Aiora | Moschopolis Winery | PGI Thessaloniki,37,Kotsifali | Endochora Wines | PGI Crete,Kotsifali | Zacharioudakis Estate | PGI Crete,Alta | Thymiopoulos Vineyards | PDO Naoussa,,,,,,,,,
Κόκκινα,Emphasis Syrah | Pavlidis Estate | PGI Drama,56,Aggelis barrel | Lyrarakis Wines | PGI Crete,2919 M | Navitas Winery | PGI Pieria,Nostos Blend | Manousakis Winery | PGI Crete,,,,,,,,,
Κόκκινα,Evangelo | Domaine Gerovasileiou | PGI Epanomi,78,To Kokkino | Domaine de Kalathas | PGI Tinos,Château Belles Graves | Lalande de Pomerol AC Bordeaux,Symbolo | Lyrarakis Wines | PGI Crete,,,,,,,,,
Κόκκινα,Alpha Pinot Noir | Alpha Estate | PGI Florina,60,Avlotopi | Tselepos Winery | PGI Peloponnese,Limniona | Zafeirakis Estate | PGI Tyrnavos,Gaia Estate | PDO Nemea,,,,,,,,,
Κόκκινα,2919 M | Navitas Winery | PGI Pieria,55,Aggelis barrel | Lyrarakis Wines | PGI Crete,Nostos Blend | Manousakis Winery | PGI Crete,Emphasis Syrah | Pavlidis Estate | PGI Drama,,,,,,,,,
Κόκκινα,Idisma Drios Merlot | Wine Art Estate | PGI Drama,44,Issorropia | Efrosini Winery | PGI Crete,Earth and Sky | Thymiopoulos Vineyards | PDO Naoussa,Lapis Luna | Lapis Luna Wines | California,,,,,,,,,
Κόκκινα,Alpha One | Alpha Estate | PGI Florina,178,Monologos | Ktima Dio Ypsi,Mirabello | Oikonomou Winery | PGI Crete,BIN 128 | Penfolds | Coonawarra Adelaide,,,,,,,,,
Κόκκινα,Limniona | Zafeirakis Estate | PGI Tyrnavos,59,Taos Mavrodaphne | Parparoussis Winery | PGI Peloponnese,Alpha Pinot Noir | Alpha Estate | PGI Florina,Avlotopi | Tselepos Winery | PGI Peloponnese,,,,,,,,,
Κόκκινα,Palies Rizes Vielles Vignes | Domaine La tour Melas | PGI Attica,354,Tartalo | Oxer Wines | DO Rioja,Antigone | Oikonomou Winery | PGI Crete,Malbec Argentino | Bodega Catena Zapata | Mendoza,,,,,,,,,
Κόκκινα,Opus ιβ 2004 | Hatzimichalis Estate | PGI Opountia Locris,124,Barbatus | Strataridakis Winery | PGI Crete,Dog Point | Dog Point Vineyards | Marlborough Valley,MOV Prephylloxera | Petrakopoulos Winery | PGI Cephalonia,,,,,,,,,
Κόκκινα,Domaine Katsaros | Domaine Katsaros | PGI Crania,52,Moschopolis 18 | Moschopolis Winery | PGI Thessaloniki,Nostos Blend | Manousakis Winery | PGI Crete,Mouchtaro | Domaine Muses | PGI Peloponnese,,,,,,,,,
Κόκκινα,Syrah Avantis | Avantis Estate | PGI Evia,37,Kotsifali | Endochora Wines | PGI Crete,Kotsifali | Zacharioudakis Estate | PGI Crete,Alta | Thymiopoulos Vineyards | PDO Naoussa,,,,,,,,,
Κόκκινα,Nemea | Aivalis Winery | PDO Nemea,37,Kotsifali | Endochora Wines | PGI Crete,Kotsifali | Zacharioudakis Estate | PGI Crete,Alta | Thymiopoulos Vineyards | PDO Naoussa,,,,,,,,,
Κόκκινα,Gaia Estate | PDO Nemea,61,Alpha Pinot Noir | Alpha Estate | PGI Florina,Avlotopi | Tselepos Winery | PGI Peloponnese,Limniona | Zafeirakis Estate | PGI Tyrnavos,,,,,,,,,
Κόκκινα,Mouchtaro | Domaine Muses | PGI Peloponnese,50,Moschopolis 18 | Moschopolis Winery | PGI Thessaloniki,Domaine Katsaros | Domaine Katsaros | PGI Crania,Enstikto | Silva Daskalaki Winery | PGI Crete,,,,,,,,,
Κόκκινα,Taos Mavrodaphne | Parparoussis Winery | PGI Peloponnese,59,Limniona | Zafeirakis Estate | PGI Tyrnavos,Alpha Pinot Noir | Alpha Estate | PGI Florina,Avlotopi | Tselepos Winery | PGI Peloponnese,,,,,,,,,
Κόκκινα,Avlotopi | Tselepos Winery | PGI Peloponnese,60,Alpha Pinot Noir | Alpha Estate | PGI Florina,Limniona | Zafeirakis Estate | PGI Tyrnavos,Gaia Estate | PDO Nemea,,,,,,,,,
Κόκκινα,Kokkinomylos| Tselepos Winery | PGI Peloponnese,70,Fine Mavroudi | Anatolikos Vineyards | Thrace,Châteauneuf du Pape | Domaine de la Solitude | AOC Châteauneuf du Pape,A Cabernet Sauvignon | VIK Vineyards | Millahue Valley,,,,,,,,,
Κόκκινα,Monologos | Ktima Dio Ypsi,182,Mirabello | Oikonomou Winery | PGI Crete,Alpha One | Alpha Estate | PGI Florina,BIN 128 | Penfolds | Coonawarra Adelaide,,,,,,,,,
Κόκκινα,MOV Prephylloxera | Petrakopoulos Winery | PGI Cephalonia,115,Opus ιβ 2004 | Hatzimichalis Estate | PGI Opountia Locris,Baudana Barolo | Luigi Baudana | Serralunga d’Alba,Barbatus | Strataridakis Winery | PGI Crete,,,,,,,,,
Κόκκινα,To Kokkino | Domaine de Kalathas | PGI Tinos,79,Symbolo | Lyrarakis Wines | PGI Crete,Evangelo | Domaine Gerovasileiou | PGI Epanomi,Château Belles Graves | Lalande de Pomerol AC Bordeaux,,,,,,,,,
